iteration, accuracy
0, 0.024281999589571706
1, 5.211845182153643e-07
2, 5.211845182153643e-07
3, 5.211845182153643e-07
4, 5.211845182153643e-07
5, 5.211845182153643e-07
6, 5.211845182153643e-07
7, 5.211845182153643e-07
8, 5.211845182153643e-07
9, 5.211845182153643e-07
10, 5.211845182153643e-07
11, 5.211845182153643e-07
12, 5.211845182153643e-07
13, 5.211845182153643e-07
14, 5.211845182153643e-07
15, 5.211845182153643e-07
16, 5.211845182153643e-07
[7, 5.211845182153643e-07, 0.02428147840505349, 1.4990005493164062]
