iteration; accuracy; features
0; 0.00030039148512013233; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp']
1; 0.00030039148512013233; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_temperature_daily_summary', 'f4_temperature_daily_summary', 'o3_AQIrh_and_dp_daily_summary']
2; 0.0003031784777613436; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f2_so2_daily_summary', 'f3_o3_daily_summary']
3; 0.00030039148512013233; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'o3_AQItemperature_daily_summary']
4; 0.00030039148512013233; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f5_temperature_daily_summary']
5; 0.00029932973886844655; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f2_lead_daily_summary']
6; 0.00029614948629589103; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'o3_AQIwind_daily_summary', 'o3_AQIpressure_daily_summary', 'f1_pressure_daily_summary']
7; 0.0002996670141443123; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f5_co_daily_summary']
8; 0.0002951653454060264; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f3_no2_daily_summary', 'f6_pressure_daily_summary']
9; 0.0002980111408758542; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_voc_daily_summary']
10; 0.0002820811155400801; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f4_so2_daily_summary', 'o3_AQIso2_daily_summary']
11; 0.00029454103434764875; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f5_voc_daily_summary', 'f4_pm25_frm_daily_summary']
12; 0.0002957377541039134; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f2_rh_and_dp_daily_summary', 'f5_co_daily_summary']
13; 0.0002977742574245797; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f4_pm25_nonfrm_daily_summary', 'f5_pm25_nonfrm_daily_summary']
14; 0.0002462639560704968; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_no2_daily_summary', 'o3_AQIno2_daily_summary']
15; 0.00029724707779119525; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f3_pm25_speciation_daily_summary', 'f3_temperature_daily_summary']
16; 0.00029169710822880157; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_no2_daily_summary']
17; 0.0002898648092036289; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_so2_daily_summary', 'f5_so2_daily_summary']
18; 0.0002893305230840238; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f5_so2_daily_summary', 'f2_pm25_nonfrm_daily_summary']
19; 0.0002877714675534826; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_nonoxnoy_daily_summary']
20; 0.0002821921829217483; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_o3_daily_summary', 'f1_pressure_daily_summary']
21; 0.00029817459256345784; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f5_pm25_frm_daily_summary', 'f2_pm25_frm_daily_summary']
22; 0.00030039148512013233; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp']
23; 0.00023153099861789516; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_rh_and_dp_daily_summary', 'f0_rh_and_dp_daily_summary']
24; 0.00027034593959836354; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_voc_daily_summary', 'f3_voc_daily_summary', 'o3_AQIpm10_daily_summary']
25; 0.0002948579157176456; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f2_lead_daily_summary', 'f6_lead_daily_summary']
26; 0.0002959594754416256; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_pm10_daily_summary']
27; 0.0002948412552030496; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_lead_daily_summary', 'o3_AQIrh_and_dp_daily_summary']
28; 0.00027555101967981596; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f3_so2_daily_summary', 'f4_so2_daily_summary', 'f1_so2_daily_summary']
29; 0.0002238320314486876; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_rh_and_dp_daily_summary', 'f1_nonoxnoy_daily_summary', 'f0_rh_and_dp_daily_summary']
30; 0.00030023536943176566; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_hap_daily_summary', 'f6_hap_daily_summary']
31; 0.0002820011684961445; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_voc_daily_summary']
32; 0.00029737756058238377; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_pm25_speciation_daily_summary', 'f3_temperature_daily_summary', 'f3_pm25_speciation_daily_summary']
33; 0.0002995940223070209; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_pressure_daily_summary', 'f3_pm25_speciation_daily_summary']
34; 0.0002927130228030473; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f1_rh_and_dp_daily_summary', 'f6_rh_and_dp_daily_summary']
35; 0.0002907479614156117; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'o3_AQIpm25_nonfrm_daily_summary', 'f5_no2_daily_summary']
36; 0.00021554283786858182; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f0_wind_daily_summary']
37; 0.00029245983518979055; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'o3_AQIpm25_frm_daily_summary', 'f3_rh_and_dp_daily_summary']
38; 0.0002886041946706279; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f6_rh_and_dp_daily_summary', 'f4_rh_and_dp_daily_summary']
39; 0.0011885022274370207; 42932.23942279816
