iteration; accuracy; features
0; 0.6741152450090744; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)']
1; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY']
2; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY']
3; 0.9953161592505855; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME']
4; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N']
5; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS']
6; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS', 'crimeLOCATION CODE', 'crimeGEOGRAPHICAL DISTRICT CODE', 'crimePOLICE PRECINCTS']
7; 0.9953161592505855; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS', 'crimeLOCATION CODE', 'crimeGEOGRAPHICAL DISTRICT CODE', 'crimePOLICE PRECINCTS', 'crimeBUILDING NAME', 'crimeNEW GEOREFERENCED COLUMN', 'crimeBOROUGH BOUNDARIES']
8; 0.9988290398126464; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS', 'crimeLOCATION CODE', 'crimeGEOGRAPHICAL DISTRICT CODE', 'crimePOLICE PRECINCTS', 'crimeBUILDING NAME', 'crimeNEW GEOREFERENCED COLUMN', 'crimeBOROUGH BOUNDARIES', 'crime# SCHOOLS', 'crimeBUILDING CODE', 'crimePROP N']
9; 0.9953161592505855; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS', 'crimeLOCATION CODE', 'crimeGEOGRAPHICAL DISTRICT CODE', 'crimePOLICE PRECINCTS', 'crimeBUILDING NAME', 'crimeNEW GEOREFERENCED COLUMN', 'crimeBOROUGH BOUNDARIES', 'crime# SCHOOLS', 'crimeBUILDING CODE', 'crimePROP N', 'crimeAVGOFVIO N', 'crimeSCHOOLS IN BUILDING', 'crimeOTH N']
10; 0.9953161592505855; ['baseSCHOOL NAME', 'baseSCHOOL TYPE', 'baseTOTAL PARENT RESPONSE RATE (%)', 'baseTOTAL TEACHER RESPONSE RATE (%)', 'baseTOTAL STUDENT RESPONSE RATE (%)', 'ossLOCATION NAME', 'ossTOTAL STUDENTS WITH 2 OR MORE SUSPENSIONS OR REMOVALS', 'ossLOCATION CATEGORY', 'crimeID', 'crimeREGISTER', 'crimeLOCATION NAME', 'crimeZIP CODES', 'crimeCITY COUNCIL DISTRICTS', 'crimeNOCRIM N', 'crimeADDRESS', 'crimeENGROUPA', 'crimeCOMMUNITY DISTRICTS', 'crimeLOCATION CODE', 'crimeGEOGRAPHICAL DISTRICT CODE', 'crimePOLICE PRECINCTS', 'crimeBUILDING NAME', 'crimeNEW GEOREFERENCED COLUMN', 'crimeBOROUGH BOUNDARIES', 'crime# SCHOOLS', 'crimeBUILDING CODE', 'crimePROP N', 'crimeAVGOFVIO N', 'crimeSCHOOLS IN BUILDING', 'crimeOTH N']
