dataset,approach,mse,accuracy,time
air,mab,1.330486445888218e-05,,33.85052990913391
air,rl,0.0011885022274370207,,42932.23942279816
school_big,rl,,0.6484100946277969,1015.5648274421692
school_big,mab,,0.999727206009568,5.507363557815552
school_small,rl,,0.6326299748583784,178.82608723640442
school_small,mab,,1.0,17.357231616973877
