iteration; accuracy; features
10; 3.869983807481761e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary']
11; 3.869983807481761e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary']
12; 3.402681189336825e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary']
13; 3.402681189336825e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary']
14; 2.8335241535088434e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary']
15; 2.6234812145233517e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary', 'f3_wind_daily_summary', 'f4_wind_daily_summary', 'f5_wind_daily_summary']
16; 2.5382679052831457e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary', 'f3_wind_daily_summary', 'f4_wind_daily_summary', 'f5_wind_daily_summary', 'f1_co_daily_summary', 'o3_AQIco_daily_summary', 'f2_co_daily_summary']
17; 2.4625232201798102e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary', 'f3_wind_daily_summary', 'f4_wind_daily_summary', 'f5_wind_daily_summary', 'f1_co_daily_summary', 'o3_AQIco_daily_summary', 'f2_co_daily_summary', 'f0_co_daily_summary', 'f4_co_daily_summary', 'f3_co_daily_summary']
18; 2.3773896214055955e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary', 'f3_wind_daily_summary', 'f4_wind_daily_summary', 'f5_wind_daily_summary', 'f1_co_daily_summary', 'o3_AQIco_daily_summary', 'f2_co_daily_summary', 'f0_co_daily_summary', 'f4_co_daily_summary', 'f3_co_daily_summary', 'f0_pressure_daily_summary', 'f1_pressure_daily_summary', 'f2_pressure_daily_summary']
19; 2.221268852446509e-05; ['f0_temp', 'f1_temp', 'f2_temp', 'f3_temp', 'f4_temp', 'f5_temp', 'f6_temp', 'f0_hap_daily_summary', 'f1_hap_daily_summary', 'f2_hap_daily_summary', 'f3_hap_daily_summary', 'f6_hap_daily_summary', 'f4_hap_daily_summary', 'o3_AQIpm25_nonfrm_daily_summary', 'f1_pm25_nonfrm_daily_summary', 'f0_pm25_nonfrm_daily_summary', 'f3_pm25_nonfrm_daily_summary', 'f2_pm25_nonfrm_daily_summary', 'f4_pm25_nonfrm_daily_summary', 'f0_nonoxnoy_daily_summary', 'f1_nonoxnoy_daily_summary', 'f2_nonoxnoy_daily_summary', 'f3_nonoxnoy_daily_summary', 'f4_nonoxnoy_daily_summary', 'f6_nonoxnoy_daily_summary', 'f1_no2_daily_summary', 'o3_AQIno2_daily_summary', 'f2_no2_daily_summary', 'f0_no2_daily_summary', 'f3_no2_daily_summary', 'f4_no2_daily_summary', 'f0_lead_daily_summary', 'f5_lead_daily_summary', 'f6_lead_daily_summary', 'f1_pm10_daily_summary', 'o3_AQIpm10_daily_summary', 'f0_pm10_daily_summary', 'f0_wind_daily_summary', 'f1_wind_daily_summary', 'f2_wind_daily_summary', 'f3_wind_daily_summary', 'f4_wind_daily_summary', 'f5_wind_daily_summary', 'f1_co_daily_summary', 'o3_AQIco_daily_summary', 'f2_co_daily_summary', 'f0_co_daily_summary', 'f4_co_daily_summary', 'f3_co_daily_summary', 'f0_pressure_daily_summary', 'f1_pressure_daily_summary', 'f2_pressure_daily_summary', 'f4_pressure_daily_summary', 'f5_pressure_daily_summary', 'f6_pressure_daily_summary']
