iteration; accuracy; features
0; 0.6741152450090744; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)']
1; 0.6728837179154783; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.bbg6-wf44MALE SUPERINTENDENT', 'datamart.socrata.data-cityofnewyork-us.g52i-ijbeSCHOOL TYPE', 'datamart.socrata.data-cityofnewyork-us.g52i-ijbePARENT SAFETY AND RESPECT SCORE']
2; 0.6480105150425093; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.kha6-7i9iLEVEL1_%', 'datamart.socrata.data-cityofnewyork-us.kha6-7i9iLEVEL1_N', 'datamart.socrata.data-cityofnewyork-us.t446-jbtd% WITHIN DEMOGRAPHIC', 'datamart.socrata.data-cityofnewyork-us.xr5s-zsn6% MALE']
3; 0.637542131190044; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.bbg6-wf44LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.vacq-ce69LOCATION NAME', 'datamart.socrata.data-cityofnewyork-us.2x8v-d8nhASIAN REMOVALS', 'datamart.socrata.data-cityofnewyork-us.2x8v-d8nhMULTI-RACIAL PRINCIPAL']
4; 0.6795532336515943; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.6je4-4x7e2012-2013 ADDITIONAL CREDIT', 'datamart.socrata.data-cityofnewyork-us.6je4-4x7e2012-2013 PROGRESS CATEGORY SCORE', 'datamart.socrata.data-cityofnewyork-us.6je4-4x7e2012-2013 COLLEGE AND CAREER READINESS GRADE']
5; 0.6914232529496563; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.xne4-4v8f2011-2012 ENVIRONMENT CATEGORY SCORE', 'datamart.socrata.data-cityofnewyork-us.xne4-4v8f2011-2012 ENVIRONMENT GRADE', 'datamart.socrata.data-cityofnewyork-us.xne4-4v8fPEER INDEX*', 'datamart.socrata.data-cityofnewyork-us.vrn4-2absENVIRONMENT CATEGORY SCORE', 'datamart.socrata.data-cityofnewyork-us.xne4-4v8fSCHOOL LEVEL*', 'datamart.socrata.data-cityofnewyork-us.vrn4-2absPERFORMANCE GRADE', 'datamart.socrata.data-cityofnewyork-us.vrn4-2abs2008-09 STATE ACCOUNTABILITY STATUS']
6; 0.6621888773658282; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.44t3-dj6xSCHOOLS IN BUILDING', 'datamart.socrata.data-cityofnewyork-us.f9bf-2cp4SCHOOL NAME', 'datamart.socrata.data-cityofnewyork-us.pbc8-mmb4EFFECTIVE SCHOOL LEADERSHIP RATING']
7; 0.7217083491753032; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.qrz6-23fwDEMOGRAPHIC', 'datamart.socrata.data-cityofnewyork-us.k63t-h76x ADVANCED REGENTS % OF COHORT', 'datamart.socrata.data-cityofnewyork-us.qrz6-23fwTOTAL GRADS NUM']
8; 0.6711126711126711; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.yayv-apxhPROGRESS GRADE', 'datamart.socrata.data-cityofnewyork-us.pbc8-mmb4RIGOROUS INSTRUCTION - PERCENT POSITIVE']
9; 0.6709639953542393; ['base.csvSCHOOL NAME', 'base.csvSCHOOL TYPE', 'base.csvTOTAL PARENT RESPONSE RATE (%)', 'base.csvTOTAL TEACHER RESPONSE RATE (%)', 'base.csvTOTAL STUDENT RESPONSE RATE (%)', 'datamart.socrata.data-cityofnewyork-us.by6m-6zpbMETHOD', 'datamart.socrata.data-cityofnewyork-us.by6m-6zpbAPP_GR09', 'datamart.socrata.data-cityofnewyork-us.pzt3-tne9YEAR']
